184,,"PLK",,"TI125",1,5,,
184,,"PLK",,"TI125",1,6,,
295,"AIF6","PLK","ebs","TI125",2,3,,
295,"AIF6","PLK","ebs","TI125",2,4,,
328,,"SBT","bd","ZH003",3,3,,
328,,"SBT","bd","ZH003",3,4,,
328,,"MCK","bd","ZH003",3,3,,
328,,"MCK","bd","ZH003",3,4,,
331,,"MCK","pbd","IF010",3,9,,
331,,"MCK","pbd","IF010",3,10,,
331,,"MCK","pbd","IF010",3,11,,
331,,"MCK","pbd","IF010",3,12,,
331,,"SBT","pbd","IF010",3,9,,
331,,"SBT","pbd","IF010",3,10,,
331,,"SBT","pbd","IF010",3,11,,
331,,"SBT","pbd","IF010",3,12,,
604,,"SLZ","df","ZH018",5,6,,
604,,"SLZ","df","ZH018",5,7,,
604,,"SLZ","df","ZH018",5,8,,
604,,"SLZ","df","ZH018",5,9,,

236,"WIF6","SLZ","semw","ZH003",4,7,,
236,"WIF6","SLZ","semw","ZH003",4,8,,
236,"WIF6","SLZ","semw","ZH003",4,9,,
236,"WIF6","SLZ","semw","ZH003",4,10,,
298,"WIF6","WUJ","semw","ZH003",2,7,,
298,"WIF6","WUJ","semw","ZH003",2,8,,
298,"WIF6","WUJ","semw","ZH003",2,9,,
298,"WIF6","WUJ","semw","ZH003",2,10,,


607,"IM1","SBT","sem","TI107",2,1,,
607,"IM1","SBT","sem","TI107",2,2,,
322,"IM1","SEE","sem","TI107",3,8,,
322,"IM1","SEE","sem","TI107",3,9,,
539,"I6","UHR","sem","TI109",2,1,,
539,"I6","UHR","sem","TI109",2,2,,
120,"I6","JGN","sem","TI109",2,7,,
120,"I6","JGN","sem","TI109",2,8,,
120,"I6","JGN","sem","TI109",2,9,,

157,"MSE3","DOM","msem","TI107",2,5,,
157,"MSE3","DOM","msem","TI107",2,6,,
157,"MSE3","DOM","msem","TI107",2,7,,
157,"MSE3","DOM","msem","TI107",2,8,,
414,"IM1","HAU","semm","TI107",4,7,,
414,"IM1","HAU","semm","TI107",4,8,,

"?",,"_",,,,,,,,,,,,,0.00000,,"1000",,,,,,,,,,"1.00000",,,"0",,,0,,,,,,,,,,,
"???","tbd",,"N",,,,,,,,,,0,16777215,,,n
