"L","BUJ",1,1,-3,#n
"L","BUJ",1,2,-3,#n
"L","BUJ",1,3,-3,#n
"L","BUJ",1,4,-3,#n
"L","BUJ",1,5,-3,#n
"L","BUJ",1,6,-3,#n
"L","BUJ",5,1,-3,#n
"L","BUJ",5,2,-3,#n
"L","BUJ",5,3,-3,#n
"L","BUJ",5,4,-3,#n
"L","BUJ",5,5,-3,#n
"L","BUJ",5,6,-3,#n
"L","BUJ",5,8,-3,#n
"L","BUJ",5,9,-3,#n
"L","BUJ",5,10,-3,#n
"L","BUJ",5,11,-3,#n
"L","BUJ",5,12,-3,#n
"L","FRA",2,1,-3,#n
"L","FRA",2,2,-3,#n
"L","FRA",2,3,-3,#n
"L","FRA",2,4,-3,#n
"L","FRA",2,5,-3,#n
"L","FRA",2,6,-3,#n
"L","FRA",2,7,-3,#n
"L","FRA",2,8,-3,#n
"L","FRA",2,9,-3,#n
"L","FRA",2,10,-3,#n
"L","FRA",2,11,-3,#n
"L","FRA",2,12,-3,#n
"L","GBL",5,1,-3,#n
"L","GBL",5,2,-3,#n
"L","GBL",5,3,-3,#n
"L","GBL",5,4,-3,#n
"L","GBL",5,5,-3,#n
"L","GBL",5,6,-3,#n
"L","GBL",5,7,-3,#n
"L","GBL",5,8,-3,#n
"L","GBL",5,9,-3,#n
"L","GBL",5,10,-3,#n
"L","GBL",5,11,-3,#n
"L","GBL",5,12,-3,#n
"L","HMN",3,1,-3,#n
"L","HMN",3,2,-3,#n
"L","HMN",3,3,-3,#n
"L","HMN",3,4,-3,#n
"L","HMN",3,5,-3,#n
"L","HMN",3,6,-3,#n
"L","HMN",3,7,-3,#n
"L","HMN",3,8,-3,#n
"L","HMN",3,9,-3,#n
"L","HMN",3,10,-3,#n
"L","HMN",3,11,-3,#n
"L","HMN",3,12,-3,#n
"L","HMN",4,1,-3,#n
"L","HMN",4,2,-3,#n
"L","HMN",4,3,-3,#n
"L","HMN",4,4,-3,#n
"L","HMN",4,5,-3,#n
"L","HMN",4,6,-3,#n
"L","HMN",4,7,-3,#n
"L","HMN",4,8,-3,#n
"L","HMN",4,9,-3,#n
"L","HMN",4,10,-3,#n
"L","HMN",4,11,-3,#n
"L","HMN",4,12,-3,#n
"L","HAU",3,1,3,#n
"L","HAU",3,2,3,#n
"L","HAU",3,3,3,#n
"L","HAU",3,4,3,#n
"L","HAU",3,5,3,#n
"L","HAU",3,6,3,#n
"L","HAU",3,7,3,#n
"L","HAU",3,8,3,#n
"L","HAU",3,9,3,#n
"L","HAU",3,10,3,#n
"L","HAU",3,11,3,#n
"L","HAU",3,12,3,#n
"L","HAU",4,1,3,#n
"L","HAU",4,2,3,#n
"L","HAU",4,3,3,#n
"L","HAU",4,4,3,#n
"L","HAU",4,5,3,#n
"L","HAU",4,6,3,#n
"L","HAU",4,7,3,#n
"L","HAU",4,8,3,#n
"L","HAU",4,9,3,#n
"L","HAU",4,10,3,#n
"L","HAU",4,11,3,#n
"L","HAU",4,12,3,#n
"L","JGN",3,1,-3,#n
"L","JGN",3,2,-3,#n
"L","JGN",3,3,-3,#n
"L","JGN",3,4,-3,#n
"L","JGN",3,5,-3,#n
"L","JGN",3,6,-3,#n
"L","JGN",3,7,-3,#n
"L","JGN",3,8,-3,#n
"L","JGN",3,9,-3,#n
"L","JGN",3,10,-3,#n
"L","JGN",3,11,-3,#n
"L","JGN",3,12,-3,#n
"L","KHA",2,7,-3,#n
"L","KHA",2,8,-3,#n
"L","KHA",2,9,-3,#n
"L","KHA",2,10,-3,#n
"L","KHA",2,11,-3,#n
"L","KHA",2,12,-3,#n
"L","KHA",5,1,-3,#n
"L","KHA",5,2,-3,#n
"L","KHA",5,3,-3,#n
"L","KHA",5,4,-3,#n
"L","KHA",5,5,-3,#n
"L","KHA",5,6,-3,#n
"L","KHA",5,7,-3,#n
"L","KHA",5,8,-3,#n
"L","KHA",5,9,-3,#n
"L","KHA",5,10,-3,#n
"L","KHA",5,11,-3,#n
"L","KHA",5,12,-3,#n
"L","LET",2,8,-3,#n
"L","LET",2,9,-3,#n
"L","LET",2,10,-3,#n
"L","LET",2,11,-3,#n
"L","LET",2,12,-3,#n
"L","LET",4,1,-3,#n
"L","LET",4,2,-3,#n
"L","LET",4,3,-3,#n
"L","LET",4,4,-3,#n
"L","LET",4,5,-3,#n
"L","LET",4,6,-3,#n
"L","LET",4,7,-3,#n
"L","LET",4,8,-3,#n
"L","LET",4,9,-3,#n
"L","LET",4,10,-3,#n
"L","LET",4,11,-3,#n
"L","LET",4,12,-3,#n
"L","MSR",1,1,-3,#n
"L","MSR",1,2,-3,#n
"L","MSR",1,3,-3,#n
"L","MSR",1,4,-3,#n
"L","MSR",1,5,-3,#n
"L","MSR",1,6,-3,#n
"L","MSR",1,7,-3,#n
"L","MSR",1,8,-3,#n
"L","MSR",1,9,-3,#n
"L","MSR",1,10,-3,#n
"L","MSR",1,11,-3,#n
"L","MSR",1,12,-3,#n
"L","MSR",2,1,-3,#n
"L","MSR",2,2,-3,#n
"L","MSR",2,3,-3,#n
"L","MSR",2,4,-3,#n
"L","MSR",2,5,-3,#n
"L","MSR",2,6,-3,#n
"L","MSR",2,7,-3,#n
"L","MSR",2,8,-3,#n
"L","MSR",2,9,-3,#n
