605,4,4,4,"I6","MCK","pcpl","ZH003",,40,2.00000,"1","uKW",,"20180315","20180706",0.00340,"FWPM",,"ZH003","14",,,"aBn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
548,2,2,2,"I6","MSR","comp","ZH003",,40,2.00000,,,,"20180315","20180706",0.00340,,,"ZH003",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
31,4,4,4,"I6","MSR","pcomp","IF010",,40,4.00000,,,,"20180315","20180706",0.00680,"Gruppen I1/I2",,"ZH003","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,
5,2,2,2,"WIF6","KHA","itw","HS013",,106,2.00000,,,,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
5,2,2,0,"AIF6","KHA","it","HS013",,0,2.00000,,"FWPM",,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
5,2,2,0,"I6","KHA","it","HS013",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
628,4,4,4,"WIF6","HNL","pit","IF016",,50,2.00000,"1","Gruppe W3",,"20180315","20180706",0.00340,,,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
622,4,4,4,"WIF6","LET","pit","IF016",,50,2.00000,"1","Gruppe W1",,"20180315","20180706",0.00340,,,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
519,4,4,4,"WIF6","LET","pit","IF016",,50,2.00000,"2","Gruppe W2",,"20180315","20180706",0.00340,,,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
12,4,4,4,"I6","KHA","üit","IF016~IF020",,40,4.00000,,,,"20180315","20180706",0.00680,"Gruppen I1/I2",,"ZH003","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,
523,2,2,2,"WIF6","SLZ","swe3","ZH018",,90,2.00000,,,,"20180315","20180706",0.00680,,,"ZH018",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
523,2,2,0,"I6","SLZ","swe3","ZH018",,0,2.00000,,"FWPM",,"20180315","20180706",0.00680,,,"ZH018",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,
550,4,4,4,"WIF6","SLZ","üswe","ZH003",,50,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe W2",,"ZH003","14",,,"Bn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
521,4,4,4,"WIF6","SLZ","üswe","ZH003",,90,2.00000,"1",,,"20180315","20180706",0.00680,"Gruppe W1",,"ZH003","14",,,"aBn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
521,4,4,0,"I6","SLZ","üswe","ZH003",,0,2.00000,"1","FWPM",,"20180315","20180706",0.00680,"Gruppe W1",,"ZH003","14",,,"aBn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,
237,4,4,4,"WIF6","BUJ","itmc","HS013",,50,4.00000,,,,"20180315","20180706",0.01360,,,"ZH018",,,,"aBn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,
237,4,4,0,"MWing","BUJ","itm","HS013",,0,4.00000,,,,"20180315","20180706",0.01360,,,"ZH018",,,,"aBn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,
238,4,4,4,"WIF6","BUJ","üitmc","ZH003",,50,4.00000,,,,"20180315","20180706",0.00680,"Gruppen W1/W2",,"ZH003","14",,,"aBn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,
7,2,2,2,"I6","JGN","vs","ZH003",,40,2.00000,,,,"20180315","20180706",0.00340,,,"ZH003",,0,16777215,"aBfn",,,,1,1,,,,"3",0,0,,,,,200000,2.00000,,,,,
541,4,4,4,"I6","JGN","pvs","IF008",,40,2.00000,"2","Gruppe I3 (gKW)",,"20180315","20180706",0.00340,,,"ZH003","14",0,16777215,"Bfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,
310,4,4,4,"I6","JGN","pvs","IF008",,40,4.00000,,"Gruppen I1/I2",,"20180315","20180706",0.00680,,,"ZH003","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,400000,4.00000,,,,,
15,2,2,2,"I3","GBL","num","ZH013",,111,2.00000,,,,"20180315","20180706",0.00680,,,"ZH013",,0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,
